cdc_name,rpass502011,rpass502012,rpass502013,rpass502014,rpass502015,rpass102011,rpass102012,rpass102013,rpass102014,rpass102015,rpass202011,rpass202012,rpass202013,rpass202014,rpass202015,rpass412011,rpass412012,rpass412013,rpass412014,rpass412015,mpass502011,mpass502012,mpass502013,mpass502014,mpass502015,mpass102011,mpass102012,mpass102013,mpass102014,mpass102015,mpass202011,mpass202012,mpass202013,mpass202014,mpass202015,mpass412011,mpass412012,mpass412013,mpass412014,mpass412015,_rpass502011,_rpass502012,_rpass502013,_rpass502014,_rpass502015,_rpass102011,_rpass102012,_rpass102013,_rpass102014,_rpass102015,_rpass202011,_rpass202012,_rpass202013,_rpass202014,_rpass202015,_rpass412011,_rpass412012,_rpass412013,_rpass412014,_rpass412015,_mpass502011,_mpass502012,_mpass502013,_mpass502014,_mpass502015,_mpass102011,_mpass102012,_mpass102013,_mpass102014,_mpass102015,_mpass202011,_mpass202012,_mpass202013,_mpass202014,_mpass202015,_mpass412011,_mpass412012,_mpass412013,_mpass412014,_mpass412015,pctchgrt_rpass50,pctchgrt_rpass10,pctchgrt_rpass20,pctchgrt_rpass41,pctchgrt_mpass50,pctchgrt_mpass10,pctchgrt_mpass20,pctchgrt_mpass41
Harvard Community Services Center,78,97,89,79,999999,101,72,86,77,999999,129,114,77,83,999999,140,120,132,119,107,83,83,72,64,999999,82,45,55,55,999999,82,64,54,44,999999,113,105,104,93,90,46.99,58.43,54.94,54.86,999999,53.72,45.57,55.84,58.78,999999,66.15,53.27,50.33,57.64,999999,64.22,59.11,73.33,77.78,70.86,50,50.3,44.72,47.76,999999,43.62,28.66,35.71,42.31,999999,42.05,29.91,35.29,30.34,999999,51.13,50.97,57.78,60,59.21,999999,999999,999999,10.34,999999,999999,999999,15.8
Historic Gateway Dev. Corp.,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Historic Warehouse District,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Hough Dev. Corp.,91,99,75,65,999999,105,74,109,50,999999,91,88,68,51,999999,73,56,70,102,79,97,90,62,57,999999,76,49,65,45,999999,65,54,40,29,999999,66,54,60,65,81,51.41,61.88,49.67,44.83,999999,60,50.34,71.24,37.88,999999,52.6,58.28,52.71,39.23,999999,48.34,48.28,58.33,77.27,59.85,54.8,56.25,41.89,41.3,999999,43.43,33.33,42.48,33.58,999999,37.57,35.76,31.01,22.31,999999,44.59,45.76,49.18,49.24,61.36,999999,999999,999999,23.81,999999,999999,999999,37.61
Kamm's Corners Dev. Corp.,93,84,77,63,999999,95,89,77,71,999999,85,85,88,63,999999,42,50,48,46,51,104,90,73,58,999999,93,86,66,64,999999,70,77,76,57,999999,37,48,42,45,45,69.92,74.34,82.8,67.74,999999,72.52,76.72,77.78,84.52,999999,73.91,84.16,72.13,75.9,999999,60.87,76.92,75,73.02,69.86,78.2,79.65,78.49,65.91,999999,70.99,74.14,67.35,76.19,999999,60.87,77,62.3,67.86,999999,54.41,71.64,64.62,71.43,60.81,999999,999999,999999,14.77,999999,999999,999999,11.76
Little Italy Redevelopment Corp.,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Midtown Cleveland Inc.,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Mt. Pleasant NOW Comm. Dev. Corp.,59,73,53,57,999999,82,59,62,43,999999,82,90,55,66,999999,116,105,96,92,61,55,61,37,50,999999,63,46,42,20,999999,59,60,26,39,999999,93,88,86,57,55,40.69,58.87,47.75,45.97,999999,52.56,47.58,56.36,47.78,999999,58.99,55.56,53.4,61.11,999999,59.49,58.99,64.43,77.97,64.21,37.93,49.19,33.33,44.25,999999,40.38,37.1,38.18,22.22,999999,42.45,37.04,25.24,36.11,999999,47.94,49.16,56.95,48.31,55,999999,999999,999999,7.93,999999,999999,999999,14.73
Northeast Shores Dev. Corp.,51,61,45,52,999999,49,51,56,43,999999,64,61,43,44,999999,58,59,54,74,55,67,63,46,45,999999,30,42,52,29,999999,51,39,26,38,999999,54,53,48,56,44,46.36,62.89,55.56,56.52,999999,52.69,57.3,65.12,54.43,999999,60.95,64.89,53.75,68.75,999999,63.74,71.08,62.07,85.06,71.43,60.91,64.95,56.79,52.94,999999,32.26,47.19,60.47,36.71,999999,48.57,41.49,32.5,59.38,999999,59.34,62.35,54.55,61.54,57.14,999999,999999,999999,12.06,999999,999999,999999,-3.71
Ohio City Inc.,34,17,23,16,999999,21,32,21,19,999999,16,28,25,18,999999,30,22,26,19,26,32,18,22,16,999999,18,27,15,14,999999,9,15,15,15,999999,25,25,21,18,22,60.71,56.67,71.88,55.17,999999,60,66.67,61.76,79.17,999999,44.44,73.68,62.5,51.43,999999,65.22,57.89,70.27,57.58,78.79,57.14,64.29,68.75,59.26,999999,51.43,56.25,44.12,58.33,999999,25,39.47,37.5,42.86,999999,53.19,65.79,56.76,54.55,66.67,999999,999999,999999,20.81,999999,999999,999999,25.34
