neighbor10,al_sales2011,al_sales2012,al_sales2013,al_sales2014,al_sales2015,sfsale2011,sfsale2012,sfsale2013,sfsale2014,sfsale2015,mfsale2011,mfsale2012,mfsale2013,mfsale2014,mfsale2015,cdsale2011,cdsale2012,cdsale2013,cdsale2014,cdsale2015,med_al_price2011,med_al_price2012,med_al_price2013,med_al_price2014,med_al_price2015,med_sfprice2011,med_sfprice2012,med_sfprice2013,med_sfprice2014,med_sfprice2015,med_mfprice2011,med_mfprice2012,med_mfprice2013,med_mfprice2014,med_mfprice2015,med_cdprice2011,med_cdprice2012,med_cdprice2013,med_cdprice2014,med_cdprice2015,distress2011,distress2012,distress2013,distress2014,distress2015,_distress2011,_distress2012,_distress2013,_distress2014,_distress2015,pctchg_alsales,pctchgrt_sfsales,pctchgrt_mfsales,pctchgrt_cdsales,pctchgrt_distress,pctchg_medalprice,pctchg_medsfprice,pctchg_medmfprice,pctchg_medcdprice,ntal_sales2011,ntal_sales2012,ntal_sales2013,ntal_sales2014,ntal_sales2015,med_ntal_price2011,med_ntal_price2012,med_ntal_price2013,med_ntal_price2014,med_ntal_price2015,pctchgrt_ntalsales,pctchg_medntalprice,_sfsale2011,_sfsale2012,_sfsale2013,_sfsale2014,_sfsale2015,_mfsale2011,_mfsale2012,_mfsale2013,_mfsale2014,_mfsale2015,_cdsale2011,_cdsale2012,_cdsale2013,_cdsale2014,_cdsale2015,_ntalsales2011,_ntalsales2012,_ntalsales2013,_ntalsales2014,_ntalsales2015
Detroit Shoreway,103,110,162,179,185,68,73,90,118,108,31,32,49,47,49,4,5,23,14,28,25000,27000,27050,34000,37000,28750,20000,18900,33200,29950,18000,38900,20000,25000,30000,249730,252000,205000,234720,155412.5,21,29,28,29,39,20.39,26.36,17.28,16.2,21.08,79.61,-11.57,-11.99,290.21,3.38,48,4.17,66.67,-37.77,58,58,103,120,135,32350,37600,55800,40850,38000,29.59,17.47,66.02,66.36,55.56,65.92,58.38,30.1,29.09,30.25,26.26,26.49,3.88,4.55,14.2,7.82,15.14,56.31,52.73,63.58,67.04,72.97
Downtown,34,24,50,54,52,3,1,5,2,3,,,,,,31,23,45,52,49,199500,187400,239500,174450,218500,272650,307000,287719,336500,275000,,,,,,190000,186800,230000,172500,206000,0,0,0,0,0,0,0,0,0,0,52.94,-34.58,,3.35,,9.52,0.86,,8.42,29,23,50,51,50,250000,188000,239500,174000,218500,12.73,-12.6,8.82,4.17,10,3.7,5.77,,,,,,91.18,95.83,90,96.3,94.23,85.29,95.83,100,94.44,96.15
Edgewater,38,34,50,55,66,18,22,27,32,35,15,8,18,13,24,5,4,5,10,7,58000,61650,65750,115000,115750,130400,139000,111000,176500,179900,53000,33550,57950,88000,85750,45000,56600,44000,44250,48500,2,1,1,0,4,5.26,2.94,2,0,6.06,73.68,11.95,-7.88,-19.38,15.21,99.57,37.96,61.79,7.78,25,27,34,43,50,65000,90000,84750,120000,134400,15.15,106.77,47.37,64.71,54,58.18,53.03,39.47,23.53,36,23.64,36.36,13.16,11.76,10,18.18,10.61,65.79,79.41,68,78.18,75.76
Euclid-Green,39,51,64,55,42,23,33,47,34,32,16,18,17,21,10,,,,,,14500,8501,17050.5,14500,13590,14500,8500,17500,14500,12750,13527.5,15250,14500,12810,22300,,,,,,15,26,21,18,14,38.46,50.98,32.81,32.73,33.33,7.69,29.2,-41.97,,-13.34,-6.28,-12.07,64.85,,21,12,23,17,8,15900,16426,23600,15000,13925,-64.62,-12.42,58.97,64.71,73.44,61.82,76.19,41.03,35.29,26.56,38.18,23.81,,,,,,53.85,23.53,35.94,30.91,19.05
Fairfax,46,45,37,41,38,27,29,24,31,28,19,16,13,10,10,,,,,,10470,10000,15000,22500,36200,14000,16000,31750,42000,52750,8750,6250,3500,5550,8700,,,,,,23,23,17,13,13,50,51.11,45.95,31.71,34.21,-17.39,25.52,-36.27,,-31.58,245.75,276.79,-0.57,,25,16,13,18,19,16750,54500,32500,14800,14500,-8,-13.43,58.7,64.44,64.86,75.61,73.68,41.3,35.56,35.14,24.39,26.32,,,,,,54.35,35.56,35.14,43.9,50
Glenville,278,284,327,344,402,169,168,187,221,245,109,116,138,122,156,,,2,1,1,9000,12000,11000,16250,16700,10000,13250,12000,16500,16420,8100,11728,10000,16250,16833.5,,,1000,3000,85000,146,132,158,141,153,52.52,46.48,48.32,40.99,38.06,44.6,0.26,-1.02,,-27.53,85.56,64.2,107.82,,76,103,129,145,188,18950,19900,17000,22000,20750,71.07,9.5,60.79,59.15,57.19,64.24,60.95,39.21,40.85,42.2,35.47,38.81,,,0.61,0.29,0.25,27.34,36.27,39.45,42.15,46.77
Goodrich-Kirtland Pk,20,18,29,19,22,7,10,10,11,7,13,7,18,8,13,,1,1,,2,23925,26000,27100,21500,23500,22750,24250,15850,20000,21000,27000,20000,28750,32900,22000,,105000,85000,,160000,8,5,2,2,1,40,27.78,6.9,10.53,4.55,10,-9.09,-9.09,,-88.63,-1.78,-7.69,-18.52,,20,12,27,16,20,23925,36500,27100,25475,23500,-9.09,-1.78,35,55.56,34.48,57.89,31.82,65,38.89,62.07,42.11,59.09,,5.56,3.45,,9.09,100,66.67,93.1,84.21,90.91
Hopkins,,1,1,,3,,1,1,,3,,,,,,,,,,,,110000,119000,,125000,,110000,119000,,125000,,,,,,,,,,,,0,0,,0,,0,0,,0,,,,,,,,,,,1,,,2,,110000,,,102225,,,,100,100,,100,,,,,,,,,,,,100,,,66.67
Hough,59,62,64,63,68,37,43,43,41,43,22,19,21,22,25,,,,,,7000,13250,11850,12000,11750,9750,16025,19750,12000,10500,5250,8500,8700,12375,12900,,,,,,35,26,28,25,30,59.32,41.94,43.75,39.68,44.12,15.25,0.85,-1.42,,-25.62,67.86,7.69,145.71,,27,18,35,25,32,15000,24600,16750,15000,15000,2.84,0,62.71,69.35,67.19,65.08,63.24,37.29,30.65,32.81,34.92,36.76,,,,,,45.76,29.03,54.69,39.68,47.06
Jefferson,200,180,218,212,266,187,166,193,196,236,13,14,25,16,30,,,,,,27000,29992.5,30500,35000,42000,27000,29942.5,30500,35000,40950,26520,35500,30000,38250,56197,,,,,,13,11,4,10,16,6.5,6.11,1.83,4.72,6.02,33,-5.11,73.54,,-7.38,55.56,51.67,111.9,,94,88,98,122,153,36915,37000,42500,41750,50315,22.38,36.3,93.5,92.22,88.53,92.45,88.72,6.5,7.78,11.47,7.55,11.28,,,,,,47,48.89,44.95,57.55,57.52
Kamm's,273,309,367,375,435,265,299,352,361,412,8,9,14,12,22,,1,1,2,1,71000,76000,85500,92500,93400,71000,76000,86250,91500,91375,74500,81700,80137.5,117250,118543.5,,12700,25000,45000,99500,2,3,1,3,6,0.73,0.97,0.27,0.8,1.38,59.34,-2.43,72.7,,89.04,31.55,28.7,59.12,,185,218,271,307,351,91600,81750,94000,97000,99000,19.06,8.08,97.07,96.76,95.91,96.27,94.71,2.93,2.91,3.81,3.2,5.06,,0.32,0.27,0.53,0.23,67.77,70.55,73.84,81.87,80.69
Kinsman,51,44,67,61,69,24,20,41,39,35,25,23,26,22,32,2,1,,,2,7500,7750,10880,19750,15000,10250,8500,18500,19800,15000,5500,7100,5589,15375,12084.5,8800,6500,,,33450,28,25,32,21,31,54.9,56.82,47.76,34.43,44.93,35.29,7.78,-5.39,-26.02,-18.16,100,46.34,119.72,280.11,19,17,28,29,36,24250,10600,20475,25750,24725,40.05,1.96,47.06,45.45,61.19,63.93,50.72,49.02,52.27,38.81,36.07,46.38,3.92,2.27,,,2.9,37.25,38.64,41.79,47.54,52.17
Lee-Harvard,110,130,163,146,193,108,128,161,145,191,2,2,2,1,2,,,,,,20500,18250,21500,25025,22000,21000,18750,21500,25050,22000,14800,6800,36500,19500,25000,,,,,,25,30,32,26,34,22.73,23.08,19.63,17.81,17.62,75.45,0.79,-42.86,,-22.48,7.32,4.76,68.92,,31,45,73,64,73,22000,24900,25000,26000,22000,34.21,0,98.18,98.46,98.77,99.32,98.96,1.82,1.54,1.23,0.68,1.04,,,,,,28.18,34.62,44.79,43.84,37.82
Lee-Seville,37,55,63,60,89,36,55,61,59,89,1,,2,1,,,,,,,12734,13100,16000,15915,21200,14617,13100,16000,16500,21200,8300,,3525,15000,,,,,,,14,18,20,13,18,37.84,32.73,31.75,21.67,20.22,140.54,2.77,,,-46.56,66.48,45.04,,,11,22,22,26,41,28200,21650,20000,17767.5,19388,54.96,-31.25,97.3,100,96.83,98.33,100,2.7,,3.17,1.67,,,,,,,29.73,40,34.92,43.33,46.07
Mount Pleasant,190,171,202,219,268,115,104,110,126,160,75,67,92,93,108,,,,,,9075,8700,13500,13375,14836.5,9000,10000,15050,13925,15000,10000,7254,12425,12104,12250,,,,,,103,98,84,90,108,54.21,57.31,41.58,41.1,40.3,41.05,-1.37,2.1,,-25.66,63.49,66.67,22.5,,64,49,82,95,101,17750,11000,19500,17372,23000,11.91,29.58,60.53,60.82,54.46,57.53,59.7,39.47,39.18,45.54,42.47,40.3,,,,,,33.68,28.65,40.59,43.38,37.69
