cdc_name,ams_res2012,ams_res2013,ams_res2014,ams_res2015,ams_res2016,res_occ2012,res_occ2013,res_occ2014,res_occ2015,res_occ2016,ams_bus2012,ams_bus2013,ams_bus2014,ams_bus2015,ams_bus2016,bus_occ2012,bus_occ2013,bus_occ2014,bus_occ2015,bus_occ2016,_res_occ2012,_res_occ2013,_res_occ2014,_res_occ2015,_res_occ2016,_bus_occ2012,_bus_occ2013,_bus_occ2014,_bus_occ2015,_bus_occ2016,pctchgrt_res,pctchgrt_bus
Burton Bell Carr Dev. Corp.,9528.40372035,9420.37276104,9088.53823543,8981.53136281,8893.13560861,8544.51627905,8509.99729586,8216.84256406,8273.87648886,8265.35720164,1577.68460209,1569.49561014,1558.89460222,1544.47003758,1545.57638966,1342.25426917,1328.04251264,1303.6945101,1306.55218918,1324.83795539,89.67,90.34,90.41,92.12,92.94,85.08,84.62,83.63,84.6,85.72,3.65,0.75
Famicos Foundation,12215.46829366,12045.77317766,11892.94280122,11732.38481635,11608.39879028,9149.56823146,8893.21209297,8791.56386137,8787.58658852,8590.64000557,552.54622792,551.61737909,548.65227343,545.92067716,540.35656227,454.91300056,447.24205764,440.02913719,439.41090385,433.66609751,74.9,73.83,73.92,74.9,74,82.33,81.08,80.2,80.49,80.26,-1.2,-2.51
Flats Forward,2169.83986046,2168.48462636,2167.44504103,2211.34668087,2302.7004268,2006.26422722,2015.15431793,2033.34299477,2104.80840752,2198.39268845,538.51209282,552.33571273,566.91534681,557.88722415,568.22097195,455.35380646,472.53484883,490.50629824,485.23569234,507.33383048,92.46,92.93,93.81,95.18,95.47,84.56,85.55,86.52,86.98,89.28,3.26,5.58
Harvard Community Services Center,11970.08223792,11987.00288871,11792.05890829,11690.53348706,11686.20363193,10780.13261124,10708.95807956,10419.16213585,10354.20958321,10397.15547137,741.41154731,719.95023726,675.50768498,656.27918358,653.18306885,677.36235204,647.94058041,597.92236335,580.08061549,571.66034425,90.06,89.34,88.36,88.57,88.97,91.36,90,88.51,88.39,87.52,-1.21,-4.2
Metro West Dev. Corp.,14003.15350771,14018.67498978,13950.15302285,13789.66115774,13642.36408028,11949.32586126,11920.72997432,11790.90301465,11806.00281286,11890.59444048,985.16157887,992.18554913,997.99032915,998.3104116,989.68620691,809.98547963,817.07890278,811.87239287,811.47323448,803.51923446,85.33,85.03,84.52,85.61,87.16,82.22,82.35,81.35,81.28,81.19,2.14,-1.25
"Cudell Improvement, Inc.",9075.96592537,9054.99932412,9004.69506569,8960.35375658,8939.66344317,7879.46881013,7908.52712427,7855.95279148,7924.5227531,7991.8638715,454.93480146,452.20728226,446.14153687,444.83188351,445.83590572,336.23326554,334.19872679,331.47886986,333.21589256,338.07237786,86.82,87.34,87.24,88.44,89.4,73.91,73.9,74.3,74.91,75.83,2.97,2.6
Fairfax Renaissance Dev. Corp.,3645.43995693,3570.30520551,3529.89252963,3538.52526641,3588.45728237,2942.42977137,2877.9461033,2869.27100267,2921.07579496,3024.66463692,378.30717487,373.73748861,370.04885428,364.16194314,366.33162433,335.53336171,330.53882835,326.73791642,323.96806936,328.08446009,80.72,80.61,81.28,82.55,84.29,88.69,88.44,88.3,88.96,89.56,4.42,0.98
Ohio City Inc.,4315.84164492,4386.5029263,4377.98162781,4416.8490093,4455.54350612,3817.31092778,3916.55962159,3901.15546247,3974.52051111,4030.66276663,736.87373381,736.07139536,735.09638203,726.99932971,723.7709539,635.38775886,639.20686593,641.42088215,649.07241933,646.17780521,88.45,89.29,89.11,89.99,90.46,86.23,86.84,87.26,89.28,89.28,2.27,3.54
Old Brooklyn Community Dev. Corp.,16500.52089131,16497.99570392,16488.49183043,16409.81330748,16407.54583189,15569.50410003,15526.08384739,15464.07665628,15444.70207499,15532.94684496,1113.56424102,1111.06088335,1111.30514683,1109.79742772,1101.27331629,971.09585667,933.34447494,919.34610929,927.33406065,915.807005469999,94.36,94.11,93.79,94.12,94.67,87.21,84,82.73,83.56,83.16,0.33,-4.64
St. Clair Superior Dev. Corp.,17651.99227364,17345.25179609,17132.23827526,16923.97535767,16791.24871202,14295.20569396,13897.89282214,13757.17892586,13608.69442493,13364.91857638,2071.5564029,2054.91616303,2033.18111754,2025.39709174,2100.77508537,1740.86803003,1715.91603322,1678.40021597,1676.77586702,1749.79536024,80.98,80.13,80.3,80.41,79.59,84.04,83.5,82.55,82.79,83.29,-1.72,-0.89
Union Miles Dev. Corp.,12283.90583221,12208.85754511,12124.37277269,11961.17446528,11836.52817196,9946.77072964,9753.90994917,9412.06285907,9484.6250393,9471.78878239,753.05523346,746.48732155,742.34814528,729.46032964,729.64177068,623.24886607,614.04822456,600.90305793,591.11525004,585.97709214,80.97,79.89,77.63,79.3,80.02,82.76,82.26,80.95,81.03,80.31,-1.17,-2.96
Downtown Cleveland Alliance,7664.39997487,7847.14735612,8840.890525,9406.6264993,9842.1158845,7302.40155917,7515.89880063,8604.64173652,9258.62730077,9724.86656482,4545.39375883,4568.8939359,4548.64554816,4537.1492666,4559.39947162,3617.66724372,3641.91707597,3577.91930331,3603.17042164,3728.91753262,95.28,95.78,97.33,98.43,98.81,79.59,79.71,78.66,79.41,81.79,3.7,2.76
Midtown Cleveland Inc.,1905.78869054,1908.85714695,1912.02085465,1894.02710284,1890.58151153,1773.01045909,1773.0757065,1768.65454802,1776.5676427,1788.67692003,477.52642116,477.18702952,463.44088675,462.0132765,463.53347003,430.943457,427.91736053,405.49083866,405.71451469,405.32271429,93.03,92.89,92.5,93.8,94.61,90.24,89.67,87.5,87.81,87.44,1.7,-3.1
Mt. Pleasant NOW Comm. Dev. Corp.,9743.36964148,9683.30071272,9625.94353212,9501.14045522,9472.65029005,7576.82959676,7360.34128979,7138.16100225,7213.17146381,7159.16624543,318.84533222,318.59713954,316.70377678,318.32825403,317.84795314,256.60200424,254.05444223,248.23940815,254.2808055,238.52536033,77.76,76.01,74.16,75.92,75.58,80.48,79.74,78.38,79.88,75.04,-2.8,-6.76
"University Circle, Incorporated",2101.48012609,2195.51388735,2215.90966212,2218.97134587,2250.30815155,1958.21940758,2042.41435596,2054.64019848,2093.02582034,2142.43859883,282.82553779,289.34184823,280.15952801,276.37604639,276.73213818,249.5571587,253.45009188,238.69382247,236.81062021,239.39634622,93.18,93.03,92.72,94.32,95.21,88.24,87.6,85.2,85.68,86.51,2.18,-1.96
"Campus District, Inc.",2235.47805062,2264.64725217,2349.15539238,2333.56420006,2268.67367481,2121.72531329,2112.03639992,2190.11257148,2236.1705709,2216.73409587,786.93262854,789.4347797,780.41313948,776.28215873,777.13716279,653.27081117,654.35433175,635.00916911,640.03437786,650.23205841,94.91,93.26,93.23,95.83,97.71,83.01,82.89,81.37,82.45,83.67,2.95,0.8
Collinwood Nottingham Villages Dev. Corp.,3451.47712141,3393.02154876,3316.93205,3280.86508306,3237.63221006,2904.46477444,2810.69532393,2788.07380806,2763.77058517,2689.47524113,390.46218051,388.45841322,384.96311017,372.35449786,363.1823665,338.36510404,334.61801452,335.85292641,325.4880592,316.07411936,84.15,82.84,84.06,84.24,83.07,86.66,86.14,87.24,87.41,87.03,-1.28,0.43
Historic Gateway Dev. Corp.,2107.86005594,2163.04787213,2307.02631747,2602.58818054,2826.2691287,2074.46966881,2132.60360975,2281.49382883,2585.69756472,2811.93252351,2238.80615421,2235.0750576,2201.1006255,2122.74741537,2118.42743116,1743.91329542,1747.44790874,1700.51100296,1676.94745523,1737.82687513,98.42,98.59,98.89,99.35,99.49,77.89,78.18,77.26,79,82.03,1.09,5.32
Historic Warehouse District,1850.2663135,1855.97330234,1869.80827772,1932.62475019,2096.9177363,1737.35881592,1756.81395653,1787.57578947,1886.37979546,2048.41925517,831.16512198,855.00933508,873.75426656,877.08536492,895.1366939,684.92971164,712.70249949,734.71422392,746.9580542,788.87345843,93.9,94.66,95.6,97.61,97.69,82.41,83.36,84.09,85.16,88.13,4.04,6.94
Shaker Square Area Dev. Corp.,7047.29444816,7072.16720421,7081.47592273,7128.61989131,7144.92021817,6394.63842556,6360.97794084,6379.46438051,6507.28675072,6605.43291365,572.5550183,548.32199102,538.14998798,519.14387969,518.45145103,526.64727277,500.26488235,488.68685742,470.9469875,463.44879309,90.74,89.94,90.09,91.28,92.45,91.98,91.24,90.81,90.72,89.39,1.88,-2.82
