neighbor10,count2012,count2013,count2014,count2015,count2016,band12012,band12013,band12014,band12015,band12016,band22012,band22013,band22014,band22015,band22016,band32012,band32013,band32014,band32015,band32016,_band12012,_band12013,_band12014,_band12015,_band12016,_band22012,_band22013,_band22014,_band22015,_band22016,_band32012,_band32013,_band32014,_band32015,_band32016,meanscore2012,meanscore2013,meanscore2014,meanscore2015,meanscore2016,w_count2012,w_count2013,w_count2014,w_count2015,w_count2016,w_band12012,w_band12013,w_band12014,w_band12015,w_band12016,w_band22012,w_band22013,w_band22014,w_band22015,w_band22016,w_band32012,w_band32013,w_band32014,w_band32015,w_band32016,_w_band12012,_w_band12013,_w_band12014,_w_band12015,_w_band12016,_w_band22012,_w_band22013,_w_band22014,_w_band22015,_w_band22016,_w_band32012,_w_band32013,_w_band32014,_w_band32015,_w_band32016,w_meanscore2012,w_meanscore2013,w_meanscore2014,w_meanscore2015,w_meanscore2016,b_count2012,b_count2013,b_count2014,b_count2015,b_count2016,b_band12012,b_band12013,b_band12014,b_band12015,b_band12016,b_band22012,b_band22013,b_band22014,b_band22015,b_band22016,b_band32012,b_band32013,b_band32014,b_band32015,b_band32016,_b_band12012,_b_band12013,_b_band12014,_b_band12015,_b_band12016,_b_band22012,_b_band22013,_b_band22014,_b_band22015,_b_band22016,_b_band32012,_b_band32013,_b_band32014,_b_band32015,_b_band32016,b_meanscore2012,b_meanscore2013,b_meanscore2014,b_meanscore2015,b_meanscore2016,a_count2012,a_count2013,a_count2014,a_count2015,a_count2016,a_band12012,a_band12013,a_band12014,a_band12015,a_band12016,a_band22012,a_band22013,a_band22014,a_band22015,a_band22016,a_band32012,a_band32013,a_band32014,a_band32015,a_band32016,_a_band12012,_a_band12013,_a_band12014,_a_band12015,_a_band12016,_a_band22012,_a_band22013,_a_band22014,_a_band22015,_a_band22016,_a_band32012,_a_band32013,_a_band32014,_a_band32015,_a_band32016,a_meanscore2012,a_meanscore2013,a_meanscore2014,a_meanscore2015,a_meanscore2016,o_count2012,o_count2013,o_count2014,o_count2015,o_count2016,o_band12012,o_band12013,o_band12014,o_band12015,o_band12016,o_band22012,o_band22013,o_band22014,o_band22015,o_band22016,o_band32012,o_band32013,o_band32014,o_band32015,o_band32016,_o_band12012,_o_band12013,_o_band12014,_o_band12015,_o_band12016,_o_band22012,_o_band22013,_o_band22014,_o_band22015,_o_band22016,_o_band32012,_o_band32013,_o_band32014,_o_band32015,_o_band32016,o_meanscore2012,o_meanscore2013,o_meanscore2014,o_meanscore2015,o_meanscore2016,h_count2012,h_count2013,h_count2014,h_count2015,h_count2016,h_band12012,h_band12013,h_band12014,h_band12015,h_band12016,h_band22012,h_band22013,h_band22014,h_band22015,h_band22016,h_band32012,h_band32013,h_band32014,h_band32015,h_band32016,_h_band12012,_h_band12013,_h_band12014,_h_band12015,_h_band12016,_h_band22012,_h_band22013,_h_band22014,_h_band22015,_h_band22016,_h_band32012,_h_band32013,_h_band32014,_h_band32015,_h_band32016,h_meanscore2012,h_meanscore2013,h_meanscore2014,h_meanscore2015,h_meanscore2016
Old Brooklyn,143,155,193,151,171,55,50,86,67,79,63,77,75,66,63,25,28,32,18,29,38.46,32.26,44.56,44.37,46.2,44.06,49.68,38.86,43.71,36.84,17.48,18.06,16.58,11.92,16.96,15.95,16.96,14.66,254.18,254.5,75,74,89,76,117,29,23,38,28,58,36,37,37,38,41,10,14,14,10,18,38.67,31.08,42.7,36.84,49.57,48,50,41.57,50,35.04,13.33,18.92,15.73,13.16,15.38,15.64,17.45,15.02,255.54,253.07,26,41,46,34,50,13,11,14,16,18,8,20,23,14,21,5,10,9,4,11,50,26.83,30.43,47.06,36,30.77,48.78,50,41.18,42,19.23,24.39,19.57,11.76,22,15.27,18.41,16.02,252.32,258.34,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,34,34,52,33,999999,9,14,33,18,999999,16,18,12,12,999999,9,2,7,3,999999,26.47,41.18,63.46,54.55,999999,47.06,52.94,23.08,36.36,999999,26.47,5.88,13.46,9.09,999999,18.06,14.03,12.44,253.73,999999
St.Clair-Superior,53,53,52,51,37,28,19,22,15,14,18,26,22,29,18,7,8,8,7,5,52.83,35.85,42.31,29.41,37.84,33.96,49.06,42.31,56.86,48.65,13.21,15.09,15.38,13.73,13.51,14.72,15.51,14.44,258.33,256.81,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,48,49,50,47,35,26,16,21,13,13,17,26,21,28,17,5,7,8,6,5,54.17,32.65,42,27.66,37.14,35.42,53.06,42,59.57,48.57,10.42,14.29,16,12.77,14.29,14.48,15.82,14.72,258.06,256.94,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Stockyards,124,118,132,102,82,77,72,75,42,52,43,37,47,45,23,4,9,10,15,7,62.1,61.02,56.82,41.18,63.41,34.68,31.36,35.61,44.12,28.05,3.23,7.63,7.58,14.71,8.54,12.21,12.14,12.48,256.22,248.55,48,35,40,28,64,24,15,18,13,42,24,16,20,10,16,0,4,2,5,6,50,42.86,45,46.43,65.63,50,45.71,50,35.71,25,0,11.43,5,17.86,9.38,13.25,14.63,14.33,254.39,248.53,28,28,34,23,18,15,17,19,11,10,11,9,11,8,7,2,2,4,4,1,53.57,60.71,55.88,47.83,55.56,39.29,32.14,32.35,34.78,38.89,7.14,7.14,11.76,17.39,5.56,13.11,12.82,13.74,255.22,248.61,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,999999,999999,999999,999999,5,999999,999999,999999,999999,5,999999,999999,999999,999999,0,999999,999999,999999,999999,50,999999,999999,999999,999999,50,999999,999999,999999,999999,0,999999,999999,999999,999999,12.5,999999,999999,45,45,47,48,999999,35,34,32,18,999999,8,9,11,25,999999,2,2,4,5,999999,77.78,75.56,68.09,37.5,999999,17.78,20,23.4,52.08,999999,4.44,4.44,8.51,10.42,999999,10.64,9.49,10.13,257,999999
Tremont,68,46,41,31,45,26,25,23,11,22,33,16,13,15,17,9,5,5,5,6,38.24,54.35,56.1,35.48,48.89,48.53,34.78,31.71,48.39,37.78,13.24,10.87,12.2,16.13,13.33,15.62,13.11,12.63,258.74,255.62,17,11,999999,999999,27,8,5,999999,999999,15,7,4,999999,999999,10,2,2,999999,999999,2,47.06,45.45,999999,999999,55.56,41.18,36.36,999999,999999,37.04,11.76,18.18,999999,999999,7.41,14.88,16.27,999999,999999,253.48,19,19,14,11,17,5,10,6,3,7,10,7,5,5,7,4,2,3,3,3,26.32,52.63,42.86,27.27,41.18,52.63,36.84,35.71,45.45,41.18,21.05,10.53,21.43,27.27,17.65,17.37,13.05,15.71,262.55,257.65,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,26,15,18,13,999999,10,10,12,6,999999,14,4,4,6,999999,2,1,2,1,999999,38.46,66.67,66.67,46.15,999999,53.85,26.67,22.22,46.15,999999,7.69,6.67,11.11,7.69,999999,14.81,10.67,10.78,255.23,999999
Union-Miles,144,109,128,143,105,57,45,57,50,42,62,52,51,70,46,25,12,20,23,17,39.58,41.28,44.53,34.97,40,43.06,47.71,39.84,48.95,43.81,17.36,11.01,15.63,16.08,16.19,16.22,14.97,14.2,257.22,255.25,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,140,107,124,139,103,55,43,55,47,40,60,52,49,69,46,25,12,20,23,17,39.29,40.19,44.35,33.81,38.83,42.86,48.6,39.52,49.64,44.66,17.86,11.21,16.13,16.55,16.5,16.4,15.11,14.27,257.65,255.65,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
University,999999,999999,11,10,13,999999,999999,4,2,6,999999,999999,4,6,2,999999,999999,3,2,5,999999,999999,36.36,20,46.15,999999,999999,36.36,60,15.38,999999,999999,27.27,20,38.46,999999,999999,18.18,257.9,254.23,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,10,10,11,999999,999999,3,2,5,999999,999999,4,6,2,999999,999999,3,2,4,999999,999999,30,20,45.45,999999,999999,40,60,18.18,999999,999999,30,20,36.36,999999,999999,18.7,257.9,251.91,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
West Boulevard,164,163,173,207,175,84,91,85,74,86,58,55,73,100,75,22,17,15,33,14,51.22,55.83,49.13,35.75,49.14,35.37,33.74,42.2,48.31,42.86,13.41,10.43,8.67,15.94,8,14.48,13.67,13.61,255.58,251.77,50,45,48,64,106,19,26,26,22,55,24,12,18,34,44,7,7,4,8,7,38,57.78,54.17,34.38,51.89,48,26.67,37.5,53.13,41.51,14,15.56,8.33,12.5,6.6,15.6,15.09,12.67,255.33,250.98,43,67,73,72,63,20,32,29,23,27,14,29,34,31,29,9,6,10,18,7,46.51,47.76,39.73,31.94,42.86,32.56,43.28,46.58,43.06,46.03,20.93,8.96,13.7,25,11.11,16.07,14.25,15.32,257.99,254.6,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,17,999999,999999,14,999999,11,999999,999999,7,999999,4,999999,999999,6,999999,2,999999,999999,1,999999,64.71,999999,999999,50,999999,23.53,999999,999999,42.86,999999,11.76,999999,999999,7.14,999999,14.06,999999,999999,246.71,999999,53,43,44,56,999999,34,28,25,22,999999,15,11,18,29,999999,4,4,1,5,999999,64.15,65.12,56.82,39.29,999999,28.3,25.58,40.91,51.79,999999,7.55,9.3,2.27,8.93,999999,12.11,11.49,12.32,254.34,999999
_Suburbs,118,130,118,111,107,29,29,38,29,32,57,49,41,42,46,32,52,39,40,29,24.58,22.31,32.2,26.13,29.91,48.31,37.69,34.75,37.84,42.99,27.12,40,33.05,36.04,27.1,18.69,19.78,17.89,261.79,259.72,16,21,18,999999,19,0,4,4,999999,5,8,4,5,999999,6,8,13,9,999999,8,0,19.05,22.22,999999,26.32,50,19.05,27.78,999999,31.58,50,61.9,50,999999,42.11,23.44,22.05,19.83,999999,263.95,92,100,86,93,87,25,20,27,26,27,45,44,34,36,39,22,36,25,31,21,27.17,20,31.4,27.96,31.03,48.91,44,39.53,38.71,44.83,23.91,36,29.07,33.33,24.14,18.18,19.66,17.93,260.56,258.84,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
_Unknown neighborhood,12,21,28,105,97,6,9,15,36,32,3,6,9,48,46,3,6,4,21,19,50,42.86,53.57,34.29,32.99,25,28.57,32.14,45.71,47.42,25,28.57,14.29,20,19.59,15.58,14.9,13.25,258.58,257.77,999999,999999,999999,23,20,999999,999999,999999,6,8,999999,999999,999999,11,8,999999,999999,999999,6,4,999999,999999,999999,26.09,40,999999,999999,999999,47.83,40,999999,999999,999999,26.09,20,999999,999999,999999,259.17,254.5,999999,999999,18,74,69,999999,999999,8,27,21,999999,999999,8,34,33,999999,999999,2,13,15,999999,999999,44.44,36.49,30.43,999999,999999,44.44,45.95,47.83,999999,999999,11.11,17.57,21.74,999999,999999,13.83,258.12,259.29,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
__CMSD,3147,2858,3057,2800,2549,1285,1263,1397,1029,1033,1313,1086,1155,1261,1075,549,509,505,510,441,40.83,44.19,45.7,36.75,40.53,41.72,38,37.78,45.04,42.17,17.45,17.81,16.52,18.21,17.3,15.86,15.4,14.92,257.12,255.5,532,490,523,480,804,232,184,217,157,375,209,184,193,223,290,91,122,113,100,139,43.61,37.55,41.49,32.71,46.64,39.29,37.55,36.9,46.46,36.07,17.11,24.9,21.61,20.83,17.29,15.58,17,15.55,257.75,254.23,2079,1864,1996,1853,1700,783,783,857,683,638,911,754,802,835,767,385,327,337,335,295,37.66,42.01,42.94,36.86,37.53,43.82,40.45,40.18,45.06,45.12,18.52,17.54,16.88,18.08,17.35,16.37,15.71,15.42,257.25,256.17,23,28,40,22,32,7,8,28,12,15,14,10,7,6,10,2,10,5,4,7,30.43,28.57,70,54.55,46.88,60.87,35.71,17.5,27.27,31.25,8.7,35.71,12.5,18.18,21.88,16.83,18.61,11.48,249.77,252.38,97,80,82,88,13,45,40,38,22,5,33,25,30,39,8,19,15,14,27,0,46.39,50,46.34,25,38.46,34.02,31.25,36.59,44.32,61.54,19.59,18.75,17.07,30.68,0,15.33,14.86,14.7,259.94,252.77,416,396,416,357,999999,218,248,257,155,999999,146,113,123,158,999999,52,35,36,44,999999,52.4,62.63,61.78,43.42,999999,35.1,28.54,29.57,44.26,999999,12.5,8.84,8.65,12.32,999999,13.73,11.8,12.09,255.33,999999
