neighbor10,ams_res2012,ams_res2013,ams_res2014,ams_res2015,ams_res2016,res_occ2012,res_occ2013,res_occ2014,res_occ2015,res_occ2016,ams_bus2012,ams_bus2013,ams_bus2014,ams_bus2015,ams_bus2016,bus_occ2012,bus_occ2013,bus_occ2014,bus_occ2015,bus_occ2016,_res_occ2012,_res_occ2013,_res_occ2014,_res_occ2015,_res_occ2016,_bus_occ2012,_bus_occ2013,_bus_occ2014,_bus_occ2015,_bus_occ2016,pctchgrt_res,pctchgrt_bus
Ohio City,4943.31205255,5015.415890300001,5008.36099446,5063.2124012,5104.8410349000005,4424.45614358,4525.785007030001,4516.1230825,4611.1452307,4671.313766360001,811.89751948,810.43143038,811.52462781,788.0693237400001,783.1544932099999,698.9297192700001,702.83678535,707.3279804,699.6054617200001,695.3037061099999,89.5,90.24,90.17,91.07,91.51,86.09,86.72,87.16,88.77,88.78,2.25,3.12
Old Brooklyn,16480.5,16478,16468.5,16389.25,16387,15550.5,15507.25,15445.25,15425.25,15513.5,1112,1109.5,1109.75,1108.25,1099.75,969.75,932,918,926,914.5,94.36,94.11,93.79,94.12,94.67,87.21,84,82.72,83.56,83.16,0.33,-4.64
St.Clair-Superior,4337,4259.25,4149.75,4077.5,4051.5,3338.75,3244.75,3184,3137.25,3056.5,374.75,372.75,366.75,364.25,365.5,316.5,318.5,313.75,315.5,318.25,76.98,76.18,76.73,76.94,75.44,84.46,85.45,85.55,86.62,87.07,-2,3.09
Stockyards,4472.75176068,4484.9021732,4440.85158648,4400.00312937,4343.83413094,3643.2443559400003,3656.25197863,3628.8993739000002,3679.0055119400004,3724.15023615,338.73067363999996,346.56505388999994,350.82568691999995,355.26425157,352.67027034999995,271.87914602999996,286.31661191999996,286.65658824999997,287.83229171,283.73896268999994,81.45,81.52,81.72,83.61,85.73,80.26,82.62,81.71,81.02,80.45,5.25,0.24
Tremont,4359.54318771,4440.6323356,4472.80968098,4459.52919845,4463.90299665,4044.1892153,4129.93837128,4172.03905129,4155.29433669,4174.59220458,591.0190801900001,589.30184549,583.12748483,577.10817573,584.49437666,527.0330424100001,531.36625034,530.58571616,527.9863372799999,535.33304785,92.77,93,93.28,93.18,93.52,89.17,90.17,90.99,91.49,91.59,0.81,2.71
Union-Miles,10252.41440283,10177.18406383,10083.70113928,9998.460247359999,9879.05986497,8501.07536438,8392.29542911,8089.837906389999,8183.70044843,8162.65957141,615.9405469000001,609.1368168800001,605.80331361,591.74335125,590.33149276,505.3724083200001,497.5201537000001,487.54675724000003,474.90834811,475.9753572999999,82.92,82.46,80.23,81.85,82.63,82.05,81.68,80.48,80.26,80.63,-0.35,-1.73
University,4098.84907156,4232.63223716,4242.38552488,4229.72169417,4251.16763907,3797.23428634,3905.5089251199997,3899.32698941,3951.4191265299996,3997.6927890600005,449.73340623999997,458.35085462999996,441.864376,436.54378188999993,437.8413687,392.04230096,398.61424672,373.48822384,371.29598173999995,375.33644072,92.64,92.27,91.91,93.42,94.04,87.17,86.97,84.53,85.05,85.72,1.51,-1.66
West Boulevard,8326.31261174,8333.24672956,8346.64729998,8328.0239535,8293.35888773,7364.475336920001,7356.0769318,7411.8404309200005,7480.83086624,7528.493069360001,542.78584003,543.49918791,540.09065848,540.59288612,540.35349801,402.53218578,413.80987767000005,423.78861927,429.78406827000003,431.79694319,88.45,88.27,88.8,89.83,90.78,74.16,76.14,78.47,79.5,79.91,2.63,7.75
Cleveland City,220526.21087125991,219877.01869700002,218952.86989204996,218281.8681573,218080.13261370995,191024.34888205992,190069.27659983002,189051.21453351996,190647.84117196,191569.90747879996,22300.051657670003,22132.31611411,21838.56611411,21668.037201260002,21700.25828837,18886.206437920002,18683.83654588,18273.39437161,18240.11545878,18367.83654589,86.62,86.44,86.34,87.34,87.84,84.69,84.42,83.67,84.18,84.64,1.41,-0.06
Cuyahoga County,660507.50000002,660026.25000001,659345.4999999901,661602.7500000102,662813.74999999,611363.50000003,610251.99999999,610088.9999999801,616525.0000000203,620049.50000001,62985.499999999985,62596.25,61827.75000000001,62167.25000003,62324.50000001,54404.49999998999,53809.5,52398.749999980006,53104.75000003,53330.00000001,92.56,92.46,92.53,93.19,93.55,86.38,85.96,84.75,85.42,85.57,1.07,-0.94
