neighbor10,count2011,count2012,count2013,count2014,count2015,band12011,band12012,band12013,band12014,band12015,band22011,band22012,band22013,band22014,band22015,band32011,band32012,band32013,band32014,band32015,pctband12011,pctband12012,pctband12013,pctband12014,pctband12015,pctband22011,pctband22012,pctband22013,pctband22014,pctband22015,pctband32011,pctband32012,pctband32013,pctband32014,pctband32015,meanscore2011,meanscore2012,meanscore2013,meanscore2014,meanscore2015
Detroit Shoreway,91,93,113,111,92,45,47,69,68,15,36,41,30,31,57,10,5,14,12,20,49.45,50.54,61.06,61.26,16.3,39.56,44.09,26.55,27.93,61.96,10.99,5.38,12.39,10.81,21.74,13.46,14.03,12.74,12.85,23.71
Downtown,999999,999999,15,16,999999,999999,999999,5,12,999999,999999,999999,8,3,999999,999999,999999,2,1,999999,999999,999999,33.33,75,999999,999999,999999,53.33,18.75,999999,999999,999999,13.33,6.25,999999,999999,999999,15.27,10.44,999999
Edgewater,31,24,14,25,20,10,4,4,9,2,11,12,7,9,7,10,8,3,7,11,32.26,16.67,28.57,36,10,35.48,50,50,36,35,32.26,33.33,21.43,28,55,18.42,19.92,16.29,15.56,27.75
Euclid-Green,33,42,26,40,31,12,14,12,13,8,15,24,10,15,13,6,4,4,12,10,36.36,33.33,46.15,32.5,25.81,45.45,57.14,38.46,37.5,41.94,18.18,9.52,15.38,30,32.26,16.48,15.95,15.12,17.2,24
Fairfax,58,49,30,40,44,20,13,12,21,6,21,23,11,15,28,17,13,7,4,10,34.48,26.53,40,52.5,13.64,36.21,46.94,36.67,37.5,63.64,29.31,26.53,23.33,10,22.73,17,18.86,16.8,14.33,24.25
Glenville,256,253,185,186,171,83,90,77,83,20,116,118,73,78,100,57,45,35,25,51,32.42,35.57,41.62,44.62,11.7,45.31,46.64,39.46,41.94,58.48,22.27,17.79,18.92,13.44,29.82,17.24,16.19,15.97,15.48,24.53
Goodrich-Kirtland Pk,26,21,19,10,999999,12,5,7,6,999999,8,12,10,2,999999,6,4,2,2,999999,46.15,23.81,36.84,60,999999,30.77,57.14,52.63,20,999999,23.08,19.05,10.53,20,999999,14.58,18.71,16.37,13.6,999999
Hopkins,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
Hough,104,118,69,99,94,34,37,23,40,24,34,56,35,40,52,36,25,11,19,18,32.69,31.36,33.33,40.4,25.53,32.69,47.46,50.72,40.4,55.32,34.62,21.19,15.94,19.19,19.15,17.69,17.16,16.25,16.2,22.6
Jefferson,126,143,116,150,114,57,53,47,60,11,48,55,39,51,62,21,35,30,39,41,45.24,37.06,40.52,40,9.65,38.1,38.46,33.62,34,54.39,16.67,24.48,25.86,26,35.96,14.88,16.9,16.9,16.31,26.04
