neighbor10,v2010,v2011,v2012,v2013,v2014,h2010,h2011,h2012,h2013,h2014,r2010,r2011,r2012,r2013,r2014,ro2010,ro2011,ro2012,ro2013,ro2014,ag2010,ag2011,ag2012,ag2013,ag2014,a2010,a2011,a2012,a2013,a2014,dv2010,dv2011,dv2012,dv2013,dv2014,p2010,p2011,p2012,p2013,p2014,b2010,b2011,b2012,b2013,b2014,l2010,l2011,l2012,l2013,l2014,mv2010,mv2011,mv2012,mv2013,mv2014,ar2010,ar2011,ar2012,ar2013,ar2014,d2010,d2011,d2012,d2013,d2014,dp2010,dp2011,dp2012,dp2013,dp2014,dt2010,dt2011,dt2012,dt2013,dt2014,od2010,od2011,od2012,od2013,od2014,lq2010,lq2011,lq2012,lq2013,lq2014,Ia2010,Ia2011,Ia2012,Ia2013,Ia2014,II2010,II2011,II2012,II2013,II2014,_v2010,_v2011,_v2012,_v2013,_v2014,_h2010,_h2011,_h2012,_h2013,_h2014,_r2010,_r2011,_r2012,_r2013,_r2014,_ro2010,_ro2011,_ro2012,_ro2013,_ro2014,_ag2010,_ag2011,_ag2012,_ag2013,_ag2014,_a2010,_a2011,_a2012,_a2013,_a2014,_dv2010,_dv2011,_dv2012,_dv2013,_dv2014,_p2010,_p2011,_p2012,_p2013,_p2014,_b2010,_b2011,_b2012,_b2013,_b2014,_l2010,_l2011,_l2012,_l2013,_l2014,_mv2010,_mv2011,_mv2012,_mv2013,_mv2014,_ar2010,_ar2011,_ar2012,_ar2013,_ar2014,_d2010,_d2011,_d2012,_d2013,_d2014,_dp2010,_dp2011,_dp2012,_dp2013,_dp2014,_dt2010,_dt2011,_dt2012,_dt2013,_dt2014,_od2010,_od2011,_od2012,_od2013,_od2014,_lq2010,_lq2011,_lq2012,_lq2013,_lq2014,_Ia2010,_Ia2011,_Ia2012,_Ia2013,_Ia2014,_II2010,_II2011,_II2012,_II2013,_II2014,pctchgrt_v,pctchgrt_h,pctchgrt_r,pctchgrt_ro,pctchgrt_ag,pctchgrt_a,pctchgrt_dv,pctchgrt_p,pctchgrt_b,pctchgrt_l,pctchgrt_mv,pctchgrt_ar,pctchgrt_d,pctchgrt_dp,pctchgrt_dt,pctchgrt_od,pctchgrt_lq,pctchgrt_Ia,pctchgrt_II
St.Clair-Superior,149,157,173,148,152,2,3,4,6,3,5,9,15,13,9,82,74,88,72,71,60,71,66,57,69,180,162,175,207,197,164,119,119,130,139,552,545,512,491,390,305,290,249,226,152,176,188,169,193,168,58,58,80,67,66,13,9,14,5,4,69,60,54,61,44,56,39,42,41,28,13,21,11,19,15,0,0,1,1,1,3,0,1,4,5,701,702,685,639,542,751,571,716,762,736,2166.96,2308.44,2551.5,2189.39,2261.52,29.09,44.11,58.99,88.76,44.64,72.72,132.33,221.23,192.31,133.91,1192.55,1088.05,1297.87,1065.11,1056.37,872.6,1043.94,973.4,843.21,1026.61,2617.8,2381.95,2580.99,3062.19,2931.04,2385.11,1749.71,1755.08,1923.11,2068.1,8027.92,8013.36,7551.25,7263.46,5802.57,4435.72,4263.99,3672.39,3343.26,2261.52,2559.63,2764.24,2492.5,2855.09,2499.57,843.51,852.8,1179.88,991.14,981.97,189.06,132.33,206.48,73.97,59.51,1003.49,882.2,796.42,902.38,654.65,814.43,573.43,619.44,606.52,416.59,189.06,308.77,162.23,281.07,223.18,0,0,14.75,14.79,14.88,43.63,0,14.75,59.17,74.39,10194.88,10321.79,10102.75,9452.85,8064.09,10922.05,8395.65,10559.95,11272.41,10950.5,4.36,53.45,84.14,-11.42,17.65,11.97,-13.29,-27.72,-49.02,-2.35,16.41,-68.52,-34.76,-48.85,18.05,,70.5,-20.9,0.26
Stockyards,175,155,189,154,147,3,1,2,1,3,17,13,18,9,7,94,79,109,78,87,61,62,60,66,50,283,266,330,292,333,233,169,182,191,199,646,599,677,734,592,302,268,329,349,236,216,217,225,271,241,111,101,108,92,103,17,13,15,22,12,74,39,72,95,90,53,28,47,62,52,21,11,25,33,33,0,0,0,0,5,0,2,1,3,0,821,754,866,888,739,961,790,981,1031,1012,1680.91,1505.2,1841,1504.62,1444.5,28.82,9.71,19.48,9.77,29.48,163.29,126.24,175.33,87.93,68.79,902.89,767.16,1061.74,762.08,854.91,585.92,602.08,584.45,644.84,491.33,2718.28,2583.11,3214.45,2852.91,3272.23,2238.02,1641.15,1772.82,1866.12,1955.48,6204.98,5816.86,6594.49,7171.36,5817.29,2900.78,2602.53,3204.71,3409.81,2319.06,2074.73,2107.28,2191.67,2647.73,2368.19,1066.18,980.81,1052,898.86,1012.13,163.29,126.24,146.11,214.95,117.92,710.79,378.73,701.33,928.17,884.39,509.08,271.91,457.82,605.75,510.98,201.71,106.82,243.52,322.42,324.27,0,0,0,0,49.13,0,19.42,9.74,29.31,0,7885.89,7322.05,8435.49,8675.97,7261.79,9230.62,7671.65,9555.68,10073.12,9944.43,-14.06,2.29,-57.87,-5.31,-16.14,20.38,-12.62,-6.25,-20.05,14.14,-5.07,-27.78,24.42,0.37,60.76,,,-7.91,7.73
Tremont,77,88,71,87,80,0,1,0,0,0,9,9,14,16,11,35,38,30,42,38,33,40,27,29,31,160,163,138,142,168,81,77,83,87,79,527,527,526,476,409,134,149,157,105,110,293,260,288,276,189,97,116,74,86,106,3,2,7,9,4,40,38,31,35,31,27,27,23,17,16,13,11,7,17,15,0,0,1,1,0,2,0,1,0,1,604,615,597,563,489,548,490,489,495,523,968.31,1118.82,905.45,1112.86,1029.21,0,12.71,0,0,0,113.18,114.42,178.54,204.66,141.52,440.14,483.13,382.59,537.24,488.88,414.99,508.55,344.33,370.95,398.82,2012.07,2072.36,1759.9,1816.39,2161.35,1018.61,978.97,1058.49,1112.86,1016.35,6627.26,6700.21,6708.02,6088.75,5261.85,1685.11,1894.37,2002.2,1343.11,1415.17,3684.61,3305.6,3672.83,3530.45,2431.52,1219.82,1474.81,943.71,1100.07,1363.71,37.73,25.43,89.27,115.12,51.46,503.02,483.13,395.34,447.7,398.82,339.54,343.27,293.32,217.46,205.84,163.48,139.85,89.27,217.46,192.98,0,0,12.75,12.79,0,25.15,0,12.75,0,12.87,7595.57,7819.03,7613.47,7201.61,6291.07,6891.35,6229.79,6236.16,6331.79,6728.48,6.29,,25.04,11.07,-3.9,7.42,-0.22,-20.6,-16.02,-34.01,11.8,36.39,-20.71,-39.38,18.05,,-48.83,-17.17,-2.36
Union-Miles,359,338,358,384,316,6,4,8,7,11,32,22,25,27,28,174,175,193,206,144,147,137,132,144,133,401,403,354,368,326,261,299,293,290,289,1218,1179,1123,1167,1070,638,556,496,478,371,312,331,362,377,402,245,272,237,290,276,23,20,28,22,21,202,181,146,103,119,146,140,108,73,87,56,38,29,26,27,0,3,9,4,5,4,6,1,1,4,1577,1517,1481,1551,1386,1583,1453,1599,1564,1521,1889.08,1798.15,1910.39,2055.34,1701.12,31.57,21.28,42.69,37.47,59.22,168.39,117.04,133.41,144.52,150.73,915.6,930.99,1029.91,1102.6,775.19,773.52,728.84,704.39,770.75,715.98,2110.08,2143.95,1889.05,1969.7,1754.95,1373.4,1590.67,1563.53,1552.21,1555.77,6409.18,6272.24,5992.66,6246.31,5760.11,3357.19,2957.9,2646.8,2558.47,1997.2,1641.76,1760.91,1931.74,2017.87,2164.08,1289.2,1447.03,1264.7,1552.21,1485.78,121.03,106.4,149.42,117.75,113.05,1062.93,962.91,779.1,551.3,640.61,768.26,744.8,576.32,390.73,468.35,294.67,202.16,154.75,139.16,145.35,0,15.96,48.03,21.41,26.92,21.05,31.92,5.34,5.35,21.53,8298.25,8070.39,7903.05,8301.65,7461.22,8329.83,7729.91,8532.74,8371.23,8187.97,-9.95,87.58,-10.49,-15.34,-7.44,-16.83,13.28,-10.13,-40.51,31.81,15.25,-6.59,-39.73,-39.04,-50.67,,2.28,-10.09,-1.7
University,70,78,83,106,86,0,1,0,2,0,11,12,23,24,20,41,34,40,52,39,18,31,20,28,27,111,99,110,125,123,30,42,44,39,41,465,484,600,478,463,63,72,95,71,47,367,372,447,357,359,30,35,57,48,56,5,5,1,2,1,47,43,57,55,47,28,26,35,35,17,17,16,18,18,27,2,1,4,2,3,18,36,18,36,30,535,562,683,584,549,426,459,476,477,488,881.72,993.31,1060.22,1358.12,1108.22,0,12.73,0,25.62,0,138.56,152.82,293.8,307.5,257.72,516.44,432.98,510.95,666.25,502.56,226.73,394.78,255.48,358.75,347.93,1398.16,1260.73,1405.11,1601.56,1585.01,377.88,534.86,562.05,499.69,528.34,5857.16,6163.59,7664.26,6124.35,5966.33,793.55,916.9,1213.51,909.68,605.65,4622.75,4737.3,5709.88,4574.04,4626.16,377.88,445.71,728.1,615,721.63,62.98,63.67,12.77,25.62,12.89,592.01,547.59,728.1,704.68,605.65,352.69,331.1,447.08,448.44,219.07,214.13,203.75,229.93,230.62,347.93,25.19,12.73,51.1,25.62,38.66,226.73,458.45,229.93,461.25,386.59,6738.88,7156.89,8724.48,7482.47,7074.54,5365.92,5845.22,6080.31,6111.53,6288.48,25.69,,86,-2.69,53.46,13.36,39.82,1.86,-23.68,0.07,90.97,-79.53,2.3,-37.89,62.49,53.47,70.51,4.98,17.19
West Boulevard,203,210,227,218,216,0,3,2,1,5,12,10,21,14,14,103,112,119,124,134,88,85,85,79,63,419,342,357,384,383,290,257,263,296,298,932,990,1026,972,1021,367,476,478,384,361,402,349,399,412,427,156,152,140,164,221,7,13,9,12,12,121,90,100,104,95,72,59,60,65,49,47,31,39,39,41,2,0,1,0,5,2,1,1,4,3,1135,1200,1253,1190,1237,1399,1137,1361,1406,1474,1074.76,1124.05,1218.78,1174,1169.93,0,16.06,10.74,5.39,27.08,63.53,53.53,112.75,75.39,75.83,545.32,599.5,638.92,667.78,725.79,465.9,454.97,456.37,425.44,341.23,2218.34,1830.6,1916.76,2067.96,2074.46,1535.37,1375.63,1412.06,1594.06,1614.07,4934.35,5299.11,5508.66,5234.53,5530.08,1943.03,2547.86,2566.41,2067.96,1955.3,2128.34,1868.07,2142.26,2218.75,2312.78,825.92,813.6,751.67,883.19,1197.01,37.06,69.58,48.32,64.62,65,640.62,481.74,536.91,560.07,514.55,381.19,315.81,322.14,350.05,265.4,248.84,165.93,209.39,210.03,222.07,10.59,0,5.37,0,27.08,10.59,5.35,5.37,21.54,16.25,6009.11,6423.17,6727.44,6408.53,6700.01,7406.82,6085.95,7307.3,7571.76,7983.68,8.86,,19.36,33.09,-26.76,-6.49,5.13,12.07,0.63,8.67,44.93,75.39,-19.68,-30.38,-10.76,155.71,53.45,11.5,7.79
Cleveland City,5987,5932,6119,6481,5941,83,83,91,70,99,425,411,566,557,536,3192,3156,3261,3539,3087,2287,2282,2201,2315,2219,9152,8253,8622,8913,8600,5712,5259,5265,5705,5717,23494,25218,24941,23879,22307,9782,10564,9881,8470,7254,9895,10269,10946,10926,10735,3473,4093,3835,4173,4016,344,292,279,310,302,3503,3053,3142,2746,2599,2464,2137,2115,1797,1639,996,883,929,856,861,43,33,98,93,99,118,139,114,124,108,29481,31150,31060,30360,28248,33060,27725,32704,32948,32577,1508.76,1511.36,1563.79,1661.31,1531.66,20.92,21.15,23.26,17.94,25.52,107.1,104.71,144.65,142.78,138.19,804.41,804.09,833.39,907.17,795.87,576.34,581.41,562.49,593.42,572.09,2306.36,2102.7,2203.46,2284.72,2217.19,1439.46,1339.89,1345.54,1462.4,1473.91,5920.64,6425.05,6373.98,6121.05,5751.02,2465.13,2691.5,2525.21,2171.17,1870.17,2493.61,2616.34,2797.39,2800.73,2767.62,875.22,1042.82,980.08,1069.69,1035.37,86.69,74.4,71.3,79.46,77.86,882.78,777.84,802.98,703.9,670.05,620.94,544.47,540.51,460.64,422.55,251,224.97,237.42,219.42,221.98,10.84,8.41,25.05,23.84,25.52,29.74,35.41,29.13,31.79,27.84,7429.41,7936.41,7937.77,7782.36,7282.68,8331.34,7063.78,8357.91,8445.76,8398.75,1.52,21.99,29.03,-1.06,-0.74,-3.87,2.39,-2.86,-24.14,10.99,18.3,-10.19,-24.1,-31.95,-11.56,135.42,-6.39,-1.97,0.81
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_Unknown neighborhood,235,153,157,208,204,4,2,0,3,4,19,18,16,19,25,119,69,77,100,96,93,64,64,86,79,295,180,189,246,243,109,64,89,87,91,820,903,874,951,935,153,128,158,131,110,575,672,623,737,723,87,100,92,81,99,5,3,1,2,3,195,109,112,111,122,137,77,73,72,69,57,32,37,36,48,1,0,2,3,5,2,7,4,2,2,1055,1056,1031,1159,1139,1002,646,825,875,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
